Geneid	Chr	Start	End	Strand	Length	SRR6344904	SRR6344905	SRR6344906	SRR6344910	SRR6344912	SRR6344913
G372_RS0103225	NZ_ARQK01000037.1	11392	11613	-	222	195	94	195	159	84	122
G372_RS0103230	NZ_ARQK01000037.1	11859	12143	+	285	41	74	20	41	59	24
G372_RS0103235	NZ_ARQK01000037.1	12146	12745	+	600	64	162	45	39	42	15
G372_RS0103240	NZ_ARQK01000037.1	12745	14106	+	1362	550	677	525	371	323	220
G372_RS0103245	NZ_ARQK01000037.1	14369	15625	+	1257	233	569	200	199	124	103
G372_RS0103250	NZ_ARQK01000037.1	15625	16815	+	1191	380	567	294	211	244	148
G372_RS0103255	NZ_ARQK01000037.1	17376	18452	+	1077	141588	131206	137417	100630	87233	53424
G372_RS0103260	NZ_ARQK01000037.1	18860	19597	-	738	254	251	186	71	63	73
G372_RS0103265	NZ_ARQK01000037.1	19662	20141	-	480	220	256	187	95	94	101
G372_RS0103270	NZ_ARQK01000037.1	20388	20843	-	456	438	361	381	319	168	253
G372_RS0103275	NZ_ARQK01000037.1	21051	22271	-	1221	599	750	231	673	396	319
G372_RS0103280	NZ_ARQK01000037.1	22274	23041	-	768	187	210	61	393	161	144
G372_RS0103285	NZ_ARQK01000037.1	23054	24436	-	1383	585	708	176	1046	474	530
G372_RS0103290	NZ_ARQK01000037.1	24569	25138	+	570	307	296	177	445	163	219
G372_RS0103295	NZ_ARQK01000037.1	25138	25950	+	813	306	526	152	425	253	175
G372_RS0103300	NZ_ARQK01000037.1	25983	26633	+	651	1408	1382	1148	2105	1737	1054
G372_RS0103305	NZ_ARQK01000037.1	26880	27479	+	600	313	315	248	581	498	306
G372_RS0103310	NZ_ARQK01000037.1	27613	27822	+	210	115	139	141	202	274	168
G372_RS0103315	NZ_ARQK01000037.1	27906	28595	-	690	701	373	555	622	422	408
G372_RS0103320	NZ_ARQK01000037.1	28595	29275	-	681	212	359	189	203	177	122
G372_RS0103325	NZ_ARQK01000037.1	29271	30329	-	1059	621	450	534	337	325	209
G372_RS0103330	NZ_ARQK01000037.1	30332	31957	-	1626	688	1119	655	592	758	325
G372_RS0103335	NZ_ARQK01000037.1	31993	32574	-	582	336	387	393	309	380	169
G372_RS0103340	NZ_ARQK01000037.1	32574	33149	-	576	423	283	381	609	896	394
G372_RS0103345	NZ_ARQK01000037.1	33388	34080	-	693	96	210	79	187	267	41
G372_RS0103350	NZ_ARQK01000037.1	34080	34697	-	618	146	139	101	451	499	129
G372_RS0103355	NZ_ARQK01000037.1	34770	36803	-	2034	1132	1274	962	919	837	346
G372_RS0103360	NZ_ARQK01000037.1	37264	38352	+	1089	1218	1709	1088	1105	1607	312
G372_RS0103365	NZ_ARQK01000037.1	38385	38948	+	564	791	1124	771	762	1542	219
G372_RS0103370	NZ_ARQK01000037.1	38980	39882	+	903	228	341	219	362	292	211
G372_RS0103375	NZ_ARQK01000037.1	39996	40202	+	207	270	216	243	304	238	164
G372_RS0103380	NZ_ARQK01000037.1	40355	42070	+	1716	4096	4486	4113	4892	5007	2206
G372_RS0103385	NZ_ARQK01000037.1	42096	42587	+	492	1332	963	1425	2341	2235	1224
G372_RS0103390	NZ_ARQK01000037.1	42682	43695	+	1014	1218	1715	1095	2606	3203	1130
G372_RS0103395	NZ_ARQK01000037.1	43763	44428	+	666	841	672	858	1866	1886	954
G372_RS0103400	NZ_ARQK01000037.1	44428	45234	+	807	595	521	592	931	1102	496
G372_RS0103405	NZ_ARQK01000037.1	45241	46032	+	792	526	516	481	687	618	383
G372_RS0103410	NZ_ARQK01000037.1	46129	46605	+	477	191	244	151	201	194	86
G372_RS0103415	NZ_ARQK01000037.1	46764	47564	+	801	3237	3411	3369	2451	1894	1586
G372_RS0103420	NZ_ARQK01000038.1	119	934	-	816	102	225	69	63	54	31
G372_RS0103425	NZ_ARQK01000038.1	952	1662	-	711	145	192	153	145	108	96
G372_RS0103430	NZ_ARQK01000038.1	1806	2837	+	1032	3360	3379	3368	2033	1521	1397
G372_RS0103435	NZ_ARQK01000038.1	2883	4052	+	1170	2925	4839	2946	1224	1203	790
G372_RS0103440	NZ_ARQK01000038.1	4083	5198	+	1116	3013	3333	3348	1433	1373	891
G372_RS0103445	NZ_ARQK01000038.1	5311	6207	-	897	791	1651	699	592	677	326
G372_RS0103450	NZ_ARQK01000038.1	6518	7810	-	1293	1671	2186	1569	1230	1040	665
G372_RS0103455	NZ_ARQK01000038.1	7810	8829	-	1020	939	906	921	736	577	427
G372_RS0103460	NZ_ARQK01000038.1	8829	9350	-	522	446	505	444	426	354	275
G372_RS0103465	NZ_ARQK01000038.1	9350	9739	-	390	166	249	118	121	77	117
G372_RS0103470	NZ_ARQK01000038.1	9761	10336	-	576	177	362	162	154	137	124
G372_RS0103475	NZ_ARQK01000038.1	10398	11321	-	924	87	137	97	65	49	28
G372_RS0103480	NZ_ARQK01000038.1	11299	11841	-	543	27	46	30	47	47	27
G372_RS0103485	NZ_ARQK01000038.1	11940	12311	-	372	50	140	38	31	46	18
G372_RS0103490	NZ_ARQK01000038.1	12311	13363	-	1053	608	1228	617	436	347	349
G372_RS0103495	NZ_ARQK01000038.1	13379	14317	-	939	943	690	903	632	265	458
G372_RS0103500	NZ_ARQK01000038.1	14521	14937	+	417	1744	1302	1798	2763	892	2136
G372_RS0103505	NZ_ARQK01000038.1	14979	15341	+	363	937	1556	894	1198	483	770
G372_RS0103510	NZ_ARQK01000038.1	15341	15916	+	576	985	859	914	1115	378	896
G372_RS0103515	NZ_ARQK01000038.1	15955	18030	+	2076	9242	10999	9402	6762	4508	4643
G372_RS0103520	NZ_ARQK01000038.1	18049	23658	+	5610	14159	20329	13814	11054	8730	7349
G372_RS0103525	NZ_ARQK01000038.1	23658	24146	+	489	1973	1944	2104	1455	1387	785
G372_RS0103530	NZ_ARQK01000038.1	24199	24963	-	765	577	511	496	783	678	404
G372_RS0103535	NZ_ARQK01000038.1	24973	25824	-	852	2830	2934	2778	3551	3920	1529
G372_RS0103540	NZ_ARQK01000038.1	25923	27332	-	1410	25808	30752	26467	40631	49498	19384
G372_RS0103545	NZ_ARQK01000038.1	27470	28639	-	1170	13775	15787	12687	32719	42263	14184
G372_RS0103550	NZ_ARQK01000038.1	28996	30993	+	1998	8455	12520	7333	11026	13977	3979
G372_RS0103555	NZ_ARQK01000038.1	31047	32042	+	996	9908	11978	8710	11477	13251	3995
G372_RS0103560	NZ_ARQK01000038.1	32175	33350	+	1176	2614	2597	2326	4817	6408	1918
G372_RS0103565	NZ_ARQK01000038.1	33391	34818	+	1428	3600	4117	3151	7265	9558	3251
G372_RS0103570	NZ_ARQK01000038.1	34891	35952	+	1062	10535	15859	10647	15119	15182	6592
G372_RS0103575	NZ_ARQK01000038.1	36045	36845	+	801	491	409	465	503	365	276
G372_RS0103580	NZ_ARQK01000038.1	36779	37492	-	714	116	190	104	150	81	50
G372_RS0103585	NZ_ARQK01000038.1	37492	38385	-	894	394	412	350	523	633	261
G372_RS0103590	NZ_ARQK01000038.1	38416	39774	-	1359	283	427	245	661	665	279
G372_RS0103595	NZ_ARQK01000038.1	40112	40312	+	201	2439	1558	2088	7115	7872	2306
G372_RS0103600	NZ_ARQK01000038.1	40416	41189	+	774	24	96	15	109	159	24
G372_RS0103605	NZ_ARQK01000038.1	41189	42043	+	855	311	541	270	368	409	219
G372_RS0103610	NZ_ARQK01000038.1	42126	43343	+	1218	1030	831	879	1474	1384	779
G372_RS0103615	NZ_ARQK01000038.1	43404	44324	+	921	431	484	370	577	529	298
G372_RS0103620	NZ_ARQK01000038.1	44311	45255	+	945	109	129	93	136	158	80
G372_RS0103625	NZ_ARQK01000038.1	45255	45917	+	663	254	233	241	270	251	145
G372_RS0103630	NZ_ARQK01000038.1	45920	46459	+	540	59	141	33	62	54	43
G372_RS0103635	NZ_ARQK01000038.1	46605	48662	+	2058	1130	1295	1094	1001	838	602
G372_RS14435	NZ_ARQK01000039.1	4	123	-	120	115	142	134	223	254	154
G372_RS0103645	NZ_ARQK01000039.1	710	1393	-	684	500	769	422	268	233	141
G372_RS0103650	NZ_ARQK01000039.1	1393	2247	-	855	528	546	472	460	519	256
G372_RS0103655	NZ_ARQK01000039.1	2283	3500	-	1218	2445	2746	2268	2709	2996	1407
G372_RS0103660	NZ_ARQK01000039.1	3550	4908	-	1359	842	961	754	1073	958	549
G372_RS0103665	NZ_ARQK01000039.1	4939	5553	-	615	331	351	284	558	582	222
G372_RS0103670	NZ_ARQK01000039.1	5665	5958	+	294	12	23	19	21	19	12
G372_RS0103675	NZ_ARQK01000039.1	5964	6830	+	867	1026	1520	1027	1097	796	704
G372_RS0103680	NZ_ARQK01000039.1	6861	7427	-	567	333	628	354	346	310	205
G372_RS0103685	NZ_ARQK01000039.1	7588	8904	+	1317	86	88	51	185	266	59
G372_RS0103690	NZ_ARQK01000039.1	8900	12091	+	3192	436	585	421	1038	1250	405
G372_RS0103695	NZ_ARQK01000039.1	12185	12619	+	435	1981	902	2016	1973	984	455
G372_RS0103700	NZ_ARQK01000039.1	12698	13342	+	645	212	97	173	348	233	89
G372_RS0103705	NZ_ARQK01000039.1	13375	13797	+	423	82	63	57	113	120	43
G372_RS0103710	NZ_ARQK01000039.1	13805	16942	-	3138	456	666	385	369	448	212
G372_RS0103715	NZ_ARQK01000039.1	16942	18072	-	1131	109	158	111	107	70	90
G372_RS0103720	NZ_ARQK01000039.1	18106	18558	-	453	147	107	149	131	112	126
G372_RS0103725	NZ_ARQK01000039.1	18681	19112	+	432	52	68	37	107	107	66
G372_RS0103730	NZ_ARQK01000039.1	19136	20290	-	1155	194	145	148	378	385	232
G372_RS0103735	NZ_ARQK01000039.1	20339	21442	-	1104	1061	1368	910	1373	1051	644
G372_RS0103740	NZ_ARQK01000039.1	21567	22070	+	504	649	1256	541	375	298	279
G372_RS0103745	NZ_ARQK01000039.1	22120	22572	+	453	418	290	341	296	175	260
G372_RS0103750	NZ_ARQK01000039.1	22607	23014	-	408	262	230	267	528	518	337
G372_RS0103755	NZ_ARQK01000039.1	23164	23505	-	342	670	1063	629	544	400	440
G372_RS0103760	NZ_ARQK01000039.1	23573	24238	-	666	167	130	148	88	43	56
G372_RS0103765	NZ_ARQK01000039.1	24254	24703	-	450	36	27	33	27	32	8
G372_RS0103770	NZ_ARQK01000039.1	24706	25101	-	396	18	25	20	15	17	16
G372_RS0103775	NZ_ARQK01000039.1	25267	25821	+	555	22	13	19	18	20	24
G372_RS0103780	NZ_ARQK01000039.1	25817	26512	+	696	154	150	130	179	157	179
G372_RS0103785	NZ_ARQK01000039.1	26665	29325	+	2661	956	699	873	784	705	509
G372_RS0103790	NZ_ARQK01000039.1	29332	29982	-	651	197	303	184	212	211	100
G372_RS0103795	NZ_ARQK01000039.1	29985	30938	-	954	215	238	165	303	212	154
G372_RS0103800	NZ_ARQK01000039.1	31037	31570	+	534	184	227	124	132	100	61
G372_RS0103805	NZ_ARQK01000039.1	31599	33380	-	1782	650	1152	608	693	654	413
G372_RS0103810	NZ_ARQK01000039.1	33474	34373	-	900	447	415	414	520	331	357
G372_RS0103815	NZ_ARQK01000039.1	34519	34905	-	387	930	515	982	715	386	574
G372_RS0103820	NZ_ARQK01000039.1	34956	36035	+	1080	595	506	503	535	354	340
G372_RS0103825	NZ_ARQK01000039.1	36121	36618	+	498	495	857	489	308	296	227
G372_RS0103830	NZ_ARQK01000039.1	36721	37692	-	972	208	393	189	219	200	119
G372_RS0103835	NZ_ARQK01000039.1	37809	38765	+	957	169	130	132	168	107	128
G372_RS0103840	NZ_ARQK01000039.1	38855	39349	+	495	491	402	433	294	266	258
G372_RS0103845	NZ_ARQK01000039.1	39349	40251	+	903	713	592	589	402	274	281
G372_RS0103850	NZ_ARQK01000039.1	40254	41321	+	1068	376	371	313	224	161	143
G372_RS0103855	NZ_ARQK01000039.1	41401	42738	+	1338	116	146	124	167	192	126
G372_RS0103860	NZ_ARQK01000039.1	42741	44333	-	1593	249	376	229	245	214	162
G372_RS0103865	NZ_ARQK01000039.1	44350	44928	-	579	326	220	263	137	78	123
G372_RS0103870	NZ_ARQK01000039.1	45043	45765	+	723	68	73	59	117	141	73
G372_RS0103875	NZ_ARQK01000039.1	46112	46528	-	417	44	49	51	68	67	46
G372_RS0103880	NZ_ARQK01000039.1	46535	46804	-	270	117	81	125	226	158	134
G372_RS0103885	NZ_ARQK01000039.1	47003	48592	-	1590	1199	1017	1057	2541	2627	927
G372_RS0103890	NZ_ARQK01000040.1	215	3370	-	3156	1296	1339	1248	1606	1624	1129
G372_RS0103895	NZ_ARQK01000040.1	3370	4482	-	1113	360	449	349	389	401	282
G372_RS0103900	NZ_ARQK01000040.1	4562	5575	-	1014	618	572	587	575	513	585
G372_RS0103905	NZ_ARQK01000040.1	5704	7287	-	1584	924	1091	937	794	649	325
G372_RS0103910	NZ_ARQK01000040.1	7435	8244	+	810	100	88	74	73	89	62
G372_RS0103915	NZ_ARQK01000040.1	8327	8722	+	396	134	176	116	86	401	97
G372_RS0103920	NZ_ARQK01000040.1	8826	9695	+	870	290	263	277	111	421	130
G372_RS0103925	NZ_ARQK01000040.1	9888	10973	+	1086	30	44	23	17	19	19
G372_RS0103930	NZ_ARQK01000040.1	10998	11357	+	360	19	15	24	16	11	14
G372_RS0103935	NZ_ARQK01000040.1	11389	11853	+	465	9	12	11	15	11	6
G372_RS0103940	NZ_ARQK01000040.1	11837	12457	+	621	14	18	17	23	9	25
G372_RS0103945	NZ_ARQK01000040.1	12457	12999	+	543	30	36	32	33	30	21
G372_RS0103950	NZ_ARQK01000040.1	13250	14932	+	1683	1058	901	979	698	450	552
G372_RS0103955	NZ_ARQK01000040.1	14935	15348	-	414	428	609	515	384	355	272
G372_RS0103960	NZ_ARQK01000040.1	15444	15803	-	360	515	232	465	411	141	293
G372_RS0103965	NZ_ARQK01000040.1	16018	16851	+	834	206	323	204	195	208	166
G372_RS0103970	NZ_ARQK01000040.1	16851	17246	+	396	391	378	357	296	239	237
G372_RS0103975	NZ_ARQK01000040.1	17354	17647	-	294	512	568	631	159	148	168
G372_RS0103980	NZ_ARQK01000040.1	17726	19645	-	1920	432	702	416	364	441	164
G372_RS0103985	NZ_ARQK01000040.1	20192	21112	+	921	970	1226	1066	587	569	365
G372_RS0103990	NZ_ARQK01000040.1	21138	22076	-	939	1492	1934	1455	1687	1826	1018
G372_RS0103995	NZ_ARQK01000040.1	22076	22426	-	351	67	162	69	117	184	38
G372_RS0104000	NZ_ARQK01000040.1	22486	23316	+	831	327	273	256	278	211	188
G372_RS0104005	NZ_ARQK01000040.1	23316	24713	+	1398	1193	973	1160	1211	990	644
G372_RS0104010	NZ_ARQK01000040.1	24713	25858	+	1146	334	534	281	477	425	245
G372_RS0104015	NZ_ARQK01000040.1	25992	27203	+	1212	450	533	399	782	904	290
G372_RS0104020	NZ_ARQK01000040.1	27232	28227	-	996	185	333	131	178	197	143
G372_RS0104025	NZ_ARQK01000040.1	28302	28811	-	510	307	370	311	433	433	322
G372_RS0104030	NZ_ARQK01000040.1	28795	29364	-	570	372	354	345	539	491	355
G372_RS0104035	NZ_ARQK01000040.1	29405	30283	-	879	1741	1769	1770	1055	839	787
G372_RS0104040	NZ_ARQK01000040.1	30445	31221	+	777	1157	1371	1031	899	1016	586
G372_RS0104045	NZ_ARQK01000040.1	31308	32597	-	1290	2365	2320	2467	2752	1991	1520
G372_RS0104050	NZ_ARQK01000040.1	32744	34294	-	1551	915	764	949	665	538	405
G372_RS0104055	NZ_ARQK01000040.1	34339	34659	-	321	20	28	27	26	33	8
G372_RS0104060	NZ_ARQK01000040.1	34659	35048	-	390	298	181	223	368	286	194
G372_RS0104065	NZ_ARQK01000040.1	35158	35964	-	807	952	667	905	1371	1139	616
G372_RS0104070	NZ_ARQK01000040.1	36079	36504	-	426	289	280	276	295	285	195
G372_RS0104075	NZ_ARQK01000040.1	36713	37363	+	651	2012	1670	1786	1373	985	959
G372_RS0104080	NZ_ARQK01000040.1	37429	38232	-	804	2162	4652	1960	1762	2597	690
G372_RS0104085	NZ_ARQK01000040.1	38235	39269	-	1035	449	688	373	452	464	236
G372_RS0104090	NZ_ARQK01000040.1	39350	40537	-	1188	68	68	51	111	67	49
G372_RS0104095	NZ_ARQK01000040.1	40537	41127	-	591	820	1328	905	1104	1612	568
G372_RS0104100	NZ_ARQK01000040.1	41245	42729	-	1485	1216	1758	1279	2515	2235	1099
G372_RS0104105	NZ_ARQK01000040.1	42824	43504	-	681	582	939	558	897	906	353
G372_RS0104110	NZ_ARQK01000040.1	43525	44211	-	687	2353	1393	1943	3081	3285	1050
G372_RS0104115	NZ_ARQK01000040.1	44394	44714	-	321	1720	1249	1829	3430	1554	1018
G372_RS0104120	NZ_ARQK01000040.1	44852	45514	-	663	337	294	318	467	477	295
G372_RS0104125	NZ_ARQK01000040.1	45520	46134	-	615	590	535	646	793	683	369
G372_RS0104130	NZ_ARQK01000040.1	46134	47294	-	1161	498	647	427	532	446	245
G372_RS0104135	NZ_ARQK01000040.1	47294	47806	-	513	536	439	494	365	331	208
G372_RS0104140	NZ_ARQK01000040.1	47913	48821	-	909	394	314	406	358	291	222
G372_RS0104145	NZ_ARQK01000040.1	48893	49270	+	378	182	282	178	230	277	143
G372_RS0104150	NZ_ARQK01000041.1	150	1259	-	1110	138	254	143	143	186	104
G372_RS13470	NZ_ARQK01000041.1	1434	2825	-	1392	437	395	379	330	249	219
G372_RS0104160	NZ_ARQK01000041.1	3047	3762	+	716	67	76	84	144	82	63
G372_RS0104175	NZ_ARQK01000041.1	4490	4876	+	387	3	2	3	3	2	0
G372_RS0104180	NZ_ARQK01000041.1	5000	5317	+	318	170	141	136	122	100	56
G372_RS0104185	NZ_ARQK01000041.1	5329	6054	+	726	44	48	27	22	17	22
G372_RS0104190	NZ_ARQK01000041.1	6229	7431	+	1203	316	370	238	437	673	109
G372_RS0104195	NZ_ARQK01000041.1	7455	8273	+	819	1062	1131	1000	1528	1578	624
G372_RS0104200	NZ_ARQK01000041.1	8269	8619	+	351	361	312	315	479	400	259
G372_RS0104205	NZ_ARQK01000041.1	9375	10607	-	1233	412	486	400	386	370	336
G372_RS0104210	NZ_ARQK01000041.1	10790	12052	-	1263	2829	2192	2382	13095	11515	7305
G372_RS0104215	NZ_ARQK01000041.1	12408	14003	+	1596	373	343	329	602	514	365
G372_RS0104220	NZ_ARQK01000041.1	14454	16979	+	2526	1760	1814	1741	878	705	654
G372_RS0104225	NZ_ARQK01000041.1	17218	19572	+	2355	2065	2043	1794	1401	1188	931
G372_RS0104230	NZ_ARQK01000041.1	19632	20000	-	369	1026	1146	881	327	249	268
G372_RS0104235	NZ_ARQK01000041.1	20184	20828	+	645	223	131	172	151	98	112
G372_RS0104240	NZ_ARQK01000041.1	20977	21297	+	321	475	401	451	515	456	247
G372_RS0104245	NZ_ARQK01000041.1	21729	22505	+	777	1272	739	1406	634	542	452
G372_RS0104250	NZ_ARQK01000041.1	22647	22976	+	330	70	31	63	64	53	55
G372_RS0104255	NZ_ARQK01000041.1	22990	23694	+	705	116	78	91	98	71	110
G372_RS0104260	NZ_ARQK01000041.1	23706	24197	+	492	122	143	119	99	79	102
G372_RS0104265	NZ_ARQK01000041.1	24226	25272	-	1047	420	307	449	152	77	120
G372_RS0104270	NZ_ARQK01000041.1	25341	26771	-	1431	343	292	359	137	127	107
G372_RS0104275	NZ_ARQK01000041.1	27117	27503	-	387	361	392	364	320	344	266
G372_RS0104280	NZ_ARQK01000041.1	27600	28487	-	888	174	148	154	215	157	121
G372_RS0104285	NZ_ARQK01000041.1	28533	29045	-	513	594	774	518	527	533	280
G372_RS0104290	NZ_ARQK01000041.1	29172	30044	+	873	272	154	263	285	207	166
G372_RS0104295	NZ_ARQK01000041.1	30044	31012	+	969	73	157	72	77	40	29
G372_RS0104300	NZ_ARQK01000041.1	31012	32307	+	1296	228	265	162	124	107	88
G372_RS0104305	NZ_ARQK01000041.1	32307	33068	+	762	118	116	84	93	59	51
G372_RS0104310	NZ_ARQK01000041.1	33071	33721	+	651	51	39	29	35	19	15
G372_RS0104315	NZ_ARQK01000041.1	33721	35232	+	1512	464	384	453	363	310	265
G372_RS0104320	NZ_ARQK01000041.1	35319	36353	+	1035	1342	1248	1212	280	219	242
G372_RS0104325	NZ_ARQK01000041.1	36356	39259	+	2904	5235	5378	5184	1043	852	801
G372_RS0104330	NZ_ARQK01000041.1	39428	39961	+	534	540	1147	475	525	405	367
G372_RS0104335	NZ_ARQK01000041.1	39999	40550	+	552	117	67	101	94	95	73
G372_RS0104340	NZ_ARQK01000041.1	40550	40864	+	315	27	29	30	17	17	11
G372_RS0104345	NZ_ARQK01000041.1	40857	41150	+	294	14	21	9	6	11	2
G372_RS0104350	NZ_ARQK01000041.1	41150	42142	+	993	58	56	34	28	20	14
G372_RS0104355	NZ_ARQK01000041.1	42145	42543	+	399	17	34	19	17	8	6
G372_RS0104360	NZ_ARQK01000041.1	42543	44024	+	1482	101	66	76	81	38	41
G372_RS0104365	NZ_ARQK01000041.1	44024	45544	+	1521	262	297	233	177	130	125
G372_RS0104370	NZ_ARQK01000041.1	45544	47265	+	1722	84	115	72	62	49	39
G372_RS0104375	NZ_ARQK01000041.1	47331	48227	-	897	713	841	467	1478	1602	893
G372_RS0104380	NZ_ARQK01000041.1	48466	49959	+	1494	511	635	406	417	366	282
G372_RS13480	NZ_ARQK01000041.1	50081	51052	+	972	75	77	73	223	185	156
G372_RS0104390	NZ_ARQK01000041.1	51195	52496	+	1302	1433	972	1339	1231	1137	569
G372_RS0104395	NZ_ARQK01000042.1	261	2369	-	2109	603	1037	714	596	620	385
G372_RS0104400	NZ_ARQK01000042.1	2372	3520	-	1149	336	278	357	279	223	188
G372_RS0104405	NZ_ARQK01000042.1	3525	4283	-	759	215	192	221	216	160	151
G372_RS0104410	NZ_ARQK01000042.1	4305	4571	-	267	9	37	34	13	27	6
G372_RS0104415	NZ_ARQK01000042.1	4587	5351	-	765	191	279	181	193	283	93
G372_RS0104420	NZ_ARQK01000042.1	5354	5794	-	441	29	33	42	46	26	33
G372_RS0104425	NZ_ARQK01000042.1	5801	6412	-	612	341	419	364	190	141	112
G372_RS0104430	NZ_ARQK01000042.1	6428	7399	-	972	832	932	1010	570	413	399
G372_RS0104435	NZ_ARQK01000042.1	7411	7899	-	489	121	166	151	108	117	103
G372_RS0104440	NZ_ARQK01000042.1	8197	9291	-	1095	779	1106	788	543	683	315
G372_RS0104445	NZ_ARQK01000042.1	9360	9809	-	450	237	450	252	380	382	253
G372_RS0104450	NZ_ARQK01000042.1	9814	11187	-	1374	943	2503	999	1042	1487	580
G372_RS0104455	NZ_ARQK01000042.1	11187	11885	-	699	500	767	389	444	387	302
G372_RS0104460	NZ_ARQK01000042.1	11885	12895	-	1011	1303	1444	1483	1252	1030	877
G372_RS0104465	NZ_ARQK01000042.1	12888	14543	-	1656	1451	1568	1559	1236	967	969
G372_RS0104470	NZ_ARQK01000042.1	14576	14902	-	327	275	268	322	236	156	173
G372_RS0104475	NZ_ARQK01000042.1	15044	16414	-	1371	1212	1709	1263	1341	1101	1016
G372_RS0104480	NZ_ARQK01000042.1	16605	17990	-	1386	12746	14129	11558	10284	10206	7480
G372_RS0104485	NZ_ARQK01000042.1	18080	18610	-	531	667	555	707	679	699	340
G372_RS0104490	NZ_ARQK01000042.1	18685	22557	-	3873	2942	4265	2611	3535	4069	1386
G372_RS0104495	NZ_ARQK01000042.1	23632	24081	+	450	181	182	183	85	76	138
G372_RS0104500	NZ_ARQK01000042.1	24115	24801	+	687	119	183	129	84	76	68
G372_RS0104505	NZ_ARQK01000042.1	24801	26039	+	1239	171	245	148	94	75	87
G372_RS0104510	NZ_ARQK01000042.1	26145	27722	+	1578	56	149	40	32	52	30
G372_RS0104515	NZ_ARQK01000042.1	27741	30338	+	2598	263	387	200	197	191	91
G372_RS0104520	NZ_ARQK01000042.1	30448	30864	+	417	83	137	56	78	66	36
G372_RS0104525	NZ_ARQK01000042.1	30934	32013	-	1080	253	351	178	143	100	94
G372_RS0104530	NZ_ARQK01000042.1	32112	33842	-	1731	2437	2946	2350	2679	4014	1055
G372_RS0104535	NZ_ARQK01000042.1	34322	35323	-	1002	1086	1055	932	1254	1326	873
G372_RS0104540	NZ_ARQK01000042.1	35459	36013	-	555	491	425	446	216	209	149
G372_RS0104545	NZ_ARQK01000042.1	36061	37623	-	1563	369	426	354	397	403	175
G372_RS0104555	NZ_ARQK01000042.1	38264	41740	+	3477	2514	2570	2242	630	593	406
G372_RS14170	NZ_ARQK01000042.1	41969	42589	+	621	188	585	233	193	328	84
G372_RS14300	NZ_ARQK01000042.1	43136	43282	-	147	174	108	129	304	172	191
G372_RS0104570	NZ_ARQK01000042.1	43447	44007	-	561	370	486	365	775	669	461
G372_RS0104575	NZ_ARQK01000042.1	44007	44999	-	993	483	599	561	1001	662	595
G372_RS14440	NZ_ARQK01000042.1	45502	45600	-	99	23	8	18	27	12	22
G372_RS0104580	NZ_ARQK01000042.1	45795	46796	+	1002	369	184	367	350	143	287
G372_RS13815	NZ_ARQK01000042.1	47447	48259	+	813	1195	762	1101	742	446	612
G372_RS0104600	NZ_ARQK01000042.1	48671	49939	+	1269	1260	1259	1240	719	621	546
G372_RS0104605	NZ_ARQK01000042.1	50416	52374	+	1959	2132	2415	1983	1431	1193	959
G372_RS13820	NZ_ARQK01000042.1	53030	53236	-	207	84	50	79	82	71	62
G372_RS0104620	NZ_ARQK01000043.1	4	562	-	559	5	13	10	18	22	7
G372_RS0104625	NZ_ARQK01000043.1	854	2287	-	1434	621	696	597	517	349	327
G372_RS0104630	NZ_ARQK01000043.1	2287	3819	-	1533	288	471	269	376	490	249
G372_RS0104635	NZ_ARQK01000043.1	4183	4860	+	678	228	181	231	190	116	148
G372_RS0104640	NZ_ARQK01000043.1	4973	5857	-	885	865	1354	850	1173	2589	629
G372_RS0104645	NZ_ARQK01000043.1	5972	8230	-	2259	419	740	421	533	667	181
G372_RS0104650	NZ_ARQK01000043.1	8339	9760	+	1422	530	425	526	292	157	196
G372_RS0104655	NZ_ARQK01000043.1	9871	12759	+	2889	1070	1363	1029	547	388	513
G372_RS0104660	NZ_ARQK01000043.1	12766	14490	-	1725	1571	1979	1524	778	566	477
G372_RS0104665	NZ_ARQK01000043.1	14647	15123	+	477	113	249	89	144	165	65
G372_RS0104670	NZ_ARQK01000043.1	15184	15651	-	468	2434	1929	2342	1567	1189	808
G372_RS0104675	NZ_ARQK01000043.1	15799	16872	+	1074	49	133	36	61	77	39
G372_RS0104680	NZ_ARQK01000043.1	16847	17506	+	660	244	176	239	275	170	225
G372_RS13485	NZ_ARQK01000043.1	17535	17948	-	414	103	112	81	115	82	100
G372_RS0104690	NZ_ARQK01000043.1	18050	18625	+	576	350	341	287	282	107	195
G372_RS0104695	NZ_ARQK01000043.1	18625	19188	+	564	132	159	104	145	103	113
G372_RS0104700	NZ_ARQK01000043.1	19407	21461	+	2055	1105	1297	1086	840	707	552
G372_RS0104705	NZ_ARQK01000043.1	21492	24239	-	2748	831	902	805	591	438	342
G372_RS0104710	NZ_ARQK01000043.1	24566	25108	-	543	788	1201	777	266	214	191
G372_RS0104715	NZ_ARQK01000043.1	25426	25746	+	321	330	340	354	318	396	190
G372_RS0104720	NZ_ARQK01000043.1	26010	29225	+	3216	1181	1030	1138	983	721	610
G372_RS0104725	NZ_ARQK01000043.1	29232	30320	+	1089	43	38	22	61	54	20
G372_RS0104730	NZ_ARQK01000043.1	30337	30963	-	627	68	133	56	122	175	59
G372_RS0104735	NZ_ARQK01000043.1	30988	32769	-	1782	1200	1274	999	1894	2159	576
G372_RS0104740	NZ_ARQK01000043.1	32873	33520	-	648	391	316	361	576	756	281
